code,fund_name,price_text,one_month_text
AFO,AK PORTFÖY ALTIN FONU,"1,44 TL","+14,79%"
BLT,BULLS PORTFÖY ALTIN FONU,"1,86 TL","+10,81%"
DBA,DENİZ PORTFÖY ALTIN FONU,"0,79 TL","+13,74%"
FIB,FİBA PORTFÖY ALTIN FONU,"0,55 TL","+13,61%"
GGK,INVEO PORTFÖY ALTIN FON,"15,17 TL","+14,13%"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,"3,05 TL","+13,98%"
GTA,GARANTİ PORTFÖY ALTIN FONU,"1,71 TL","+13,20%"
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,"3,27 TL","+14,10%"
HBF,HSBC PORTFÖY ALTIN FONU,"54,61 TL","+13,91%"
IAY,INVEO PORTFÖY ALTIN KATILIM FONU,"1,62 TL","+12,68%"
ICA,ICBC TURKEY PORTFÖY ALTIN FONU,"0,60 TL","+14,00%"
KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,"3,65 TL","+14,75%"
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,"30,25 TL","+15,18%"
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,"2,56 TL","+9,81%"
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,"18,51 TL","+13,29%"
NAU,NEO PORTFÖY ALTIN FONU,"3,43 TL","+13,66%"
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,"12,93 TL","+13,10%"
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,"12,36 TL","+12,70%"
OJK,QNB PORTFÖY ALTIN FONU,"14,25 TL","+14,64%"
PAF,PARDUS PORTFÖY ALTIN FONU,"3,78 TL","+9,38%"
PEA,PERFORM PORTFÖY ALTIN FONU,"1,58 TL","+14,22%"
PIR,PİRAMİT PORTFÖY ALTIN FONU,"1,72 TL","+12,85%"
PKF,ATA PORTFÖY ALTIN KATILIM FONU,"5,09 TL","+12,94%"
PTN,PHİLLİP PORTFÖY ALTIN FONU,"1,70 TL","+17,79%"
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,"23,53 TL","+14,43%"
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,"3,69 TL","+11,34%"
RPG,ROTA PORTFÖY ALTIN FONU,"6,50 TL","+13,30%"
TAL,ATLAS PORTFÖY ALTIN KATILIM FONU,"3,03 TL","+14,44%"
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,"0,88 TL","+6,66%"
TRO,TRIVE PORTFÖY ALTIN FONU,"2,67 TL","+16,25%"
TTA,İŞ PORTFÖY ALTIN FONU,"0,69 TL","+10,65%"
TUA,TEB PORTFÖY ALTIN FONU,"1,57 TL","+13,86%"
UP1,ÜNLÜ PORTFÖY ALTIN FONU,"6,66 TL","+13,94%"
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,"0,95 TL","+14,29%"
